directory,total_segs,covered_segs,inner_missing,gap_count,gap_index,gap_section,gap_local_n_start,gap_local_n_end,gap_missing_count,gap_sample_heb
pesachim_5,38,32,19,5,5,Pesachim 5b,2,3,2,תָּנוּ רַבָּנַן: ״שִׁבְעַת יָמִים שְׂאֹר לֹא יִמָּצֵא בְּבָתֵּיכֶם״. מַה תַּלְמוּד לוֹמַר? וַהֲלֹא כ
sanhedrin_103,34,32,19,5,1,Sanhedrin 103a,3,4,2,אָמַר רַבִּי יוֹחָנָן מִשּׁוּם רַבִּי שִׁמְעוֹן בֶּן יוֹחַי: מַאי דִּכְתִיב ״וַיִּשְׁמַע אֵלָיו וַיּ
sanhedrin_103,34,32,19,5,2,Sanhedrin 103a,7,9,3,וְאָמַר רַבִּי יוֹחָנָן מִשּׁוּם רַבִּי שִׁמְעוֹן בֶּן יוֹחַי: מַאי דִּכְתִיב ״אִישׁ חָכָם נִשְׁפָּט
sanhedrin_103,34,32,19,5,3,Sanhedrin 103a,13,15,3,וְאָמַר רַב חִסְדָּא אָמַר רַבִּי יִרְמְיָה בַּר אַבָּא: מַאי דִּכְתִיב ״לֹא תְאֻנֶּה אֵלֶיךָ רָעָה 
sanhedrin_103,34,32,19,5,4,Sanhedrin 103b,5,11,7,"תַּנְיָא: הָיָה רַבִּי מֵאִיר אוֹמֵר, אַבְשָׁלוֹם אֵין לוֹ חֵלֶק לָעוֹלָם הַבָּא, שֶׁנֶּאֱמַר ״וַיַּ"
sanhedrin_103,34,32,19,5,5,Sanhedrin 103b,14,15,2,"אֲמַר לֵיהּ: בִּמְלָכִים לֹא שָׁמַעְתִּי, בְּהֶדְיוֹטוֹת שָׁמַעְתִּי. מִפְּנֵי מָה לֹא מָנוּ אֶת מִי"
sanhedrin_26,57,56,19,1,1,Sanhedrin 26b,11,29,19,אָמַר רַבִּי יְהוּדָה אֵימָתַי. אָמַר רַבִּי אֲבָהוּ אָמַר רַבִּי אֶלְעָזָר: הֲלָכָה כְּרַבִּי יְהוּ
shabbat_54,42,41,19,5,1,Shabbat 54a,2,3,2,הָרְחֵלִים יוֹצְאוֹת כְּבוּלוֹת. מַאי ״כְּבוּלוֹת״? — שֶׁמְּכַבְּלִין אַלְיָה שֶׁלָּהֶן לְמַטָּה כְּ
shabbat_54,42,41,19,5,2,Shabbat 54a,5,7,3,כְּבוּנוֹת. מַאי ״כְּבוּנוֹת״? — שֶׁמְכַבְּנִין אוֹתָן לְמֵילָת. כְּדִתְנַן: שְׂאֵת — כְּצֶמֶר לָבָן
shabbat_54,42,41,19,5,3,Shabbat 54a,14,16,3,"וְאַכַּתִּי לָא דָּמֵי: בִּשְׁלָמָא רֵישָׁא וְסֵיפָא — נִיחָא, מְצִיעֲתָא קַשְׁיָא!"
shabbat_54,42,41,19,5,4,Shabbat 54b,3,6,4,"וְאֵין הַתַּרְנְגוֹלִים יוֹצְאִין בְּחוּטִין וְלֹא בִּרְצוּעָה שֶׁבְּרַגְלֵיהֶם, וְאֵין הַזְּכָרִים "
shabbat_54,42,41,19,5,5,Shabbat 54b,9,11,3,וְאֵין הַתַּרְנְגוֹלִין יוֹצְאִין בְּחוּטִין: דְּעָבְדִי לְהוּ סִימָנָא כִּי הֵיכִי דְּלָא לִיחְלְפו
shevuot_29,32,30,19,5,1,Shevuot 29a,3,5,3,נִשְׁבַּע עַל דָּבָר שֶׁאִי אֶפְשָׁר לוֹ – ״אִם לֹא רָאִיתִי גָּמָל שֶׁפּוֹרֵחַ בָּאֲוִיר״ וְ״אִם לֹ
shevuot_29,32,30,19,5,2,Shevuot 29a,12,16,5,"תָּא שְׁמַע: וְכֵן מָצִינוּ כְּשֶׁהִשְׁבִּיעַ מֹשֶׁה אֶת יִשְׂרָאֵל, אָמַר לָהֶן: ״דְּעוּ שֶׁלֹּא עַ"
shevuot_29,32,30,19,5,3,Shevuot 29b,2,4,3,וְ״אִם לֹא רָאִיתִי נָחָשׁ כְּקוֹרַת בֵּית הַבַּד״. וְלָא?! וְהָא הַהוּא דַּהֲוָה בִּשְׁנֵי שַׁבּוּר
shevuot_29,32,30,19,5,4,Shevuot 29b,8,9,2,"אַחַת זוֹ וְאַחַת זוֹ, הַמּוּשְׁבָּע מִפִּי אֲחֵרִים חַיָּיב – ״אִם לֹא אָכַלְתִּי הַיּוֹם״ וְ״לֹא ה"
shevuot_29,32,30,19,5,5,Shevuot 29b,11,14,4,וְתַנְיָא בְּבָרַיְיתָא: שְׁבוּעַת הָעֵדוּת כֵּיצַד? אָמַר לְעֵדִים: ״בּוֹאוּ וְהַעִידוּנִי״; ״שְׁבו
niddah_13,49,49,18,2,1,Niddah 13a,15,16,2,"הֵי אֲמַר לְהוּ בְּרֵישָׁא? אִילֵּימָא קַמַּיְיתָא אֲמַר לְהוּ בְּרֵישָׁא, בָּתַר דְּאָמַר לְהוּ אִי"
niddah_13,49,49,18,2,2,Niddah 13b,8,23,16,"בָּאֲנָשִׁים תִּקָּצֵץ. אִיבַּעְיָא לְהוּ: דִּינָא תְּנַן אוֹ לָטוּתָא תְּנַן? דִּינָא תְּנַן, כִּי "
shevuot_34,47,46,18,4,1,Shevuot 34a,10,12,3,אֵיפוֹךְ אֲנָא!
shevuot_34,47,46,18,4,2,Shevuot 34a,15,16,2,אִיכָּא בֵּינַיְיהוּ עֵדֵי קְנָס.
shevuot_34,47,46,18,4,3,Shevuot 34b,11,13,3,וּמַאי חוּכָא? דִּלְמָא רַבִּי שִׁמְעוֹן בְּקַל וָחוֹמֶר מַיְיתֵי לַהּ: מִפִּי אֲחֵרִים חַיָּיב – מִ
shevuot_34,47,46,18,4,4,Shevuot 34b,17,20,4,"אַדְּרַבָּה – מֵעֵדוּת הֲוָה לֵיהּ לְמֵילַף, שֶׁכֵּן ״תֶּחֱטָא״ מִ״תֶּחֱטָא״!"
temurah_30,41,32,18,4,1,Temurah 30a,5,6,2,"אִי הָכִי, מַאי טַעְמָא דְּרַבָּנַן? שִׁפְחָה לְעֶבֶד עִבְרִי מִישְׁרָא שַׁרְיָא! הָכָא בְמַאי עָסְק"
temurah_30,41,32,18,4,2,Temurah 30a,8,12,5,"אֶתְנַן הַכֶּלֶב וּמְחִיר זוֹנָה — הֲרֵי אֵלּוּ מוּתָּרִין, שֶׁנֶּאֱמַר ״שְׁנַיִם״ וְלֹא אַרְבָּעָה."
temurah_30,41,32,18,4,3,Temurah 30b,7,10,4,"אִי בָּעֵית אֵימָא קְרָא, גַּבֵּי עֲבוֹדָה זָרָה כְּתִיב: ״וְהָיִיתָ חֵרֶם כָּמוֹהוּ״, כֹּל שֶׁאַתָּ"
temurah_30,41,32,18,4,4,Temurah 30b,12,14,3,"בֵּית הִלֵּל סָבְרִי: ״הֵם״ — וְלֹא וַלְדוֹתֵיהֶן, ״הֵם״ — וְלֹא שִׁינּוּיֵיהֶן."
zevachim_119,39,36,18,3,1,Zevachim 119a,12,9,11,בִּשְׁלָמָא לְמַאן דְּאָמַר ״מְנוּחָה״ זוֹ שִׁילֹה – הַיְינוּ דִּכְתִיב: ״אֶל הַמְּנוּחָה וְאֶל הַנַ
zevachim_119,39,36,18,3,2,Zevachim 119b,11,14,4,"הִקְדִּישָׁן בִּשְׁעַת אִיסּוּר הַבָּמוֹת, וְשָׁחַט וְהֶעֱלָה בַּחוּץ בִּשְׁעַת הֶיתֵּר הַבָּמוֹת – "
zevachim_119,39,36,18,3,3,Zevachim 119b,24,25,2,לֵימָא מְסַיַּיע לֵיהּ: חָזֶה וָשׁוֹק וּתְרוּמַת לַחְמֵי תוֹדָה – נוֹהֲגִין בְּקׇדְשֵׁי בָּמָה גְּדו
arakhin_26,37,29,17,3,1,Arakhin 26a,3,4,2,"רַבִּי אֱלִיעֶזֶר אוֹמֵר: לֹא נִכְנָסִין, וְלֹא נוֹתְנִין."
arakhin_26,37,29,17,3,2,Arakhin 26a,10,16,7,"וְהָתַנְיָא: ״בִּשְׁנַת הַיּוֹבֵל יָשׁוּב הַשָּׂדֶה לַאֲשֶׁר קָנָהוּ מֵאִתּוֹ״, יָכוֹל יַחְזוֹר לַגּ"
arakhin_26,37,29,17,3,3,Arakhin 26b,5,10,6,"וְתִסְבְּרַאּ?! רַבִּי יְהוּדָה וְרַבִּי שִׁמְעוֹן הַאי ״עוֹד״ מַאי דָּרְשִׁי בֵּיהּ? אֶלָּא, הָכָא "
avodah_zarah_68,31,28,17,2,1,Avodah Zarah 68a,4,11,8,"אֵיתִיבֵיהּ רַב חַגָּא לְעוּלָּא: יַיִן שֶׁנָּפַל לְתוֹךְ עֲדָשִׁים, וְחוֹמֶץ שֶׁנָּפַל לְתוֹךְ גְּר"
avodah_zarah_68,31,28,17,2,2,Avodah Zarah 68a,13,5,6,"וְהָא הָכָא, דִּפְגַם מֵעִיקָּרָא, וּפְלִיגִי! וְכִי תֵּימָא: הָכָא נָמֵי"
bava_metzia_27,44,42,17,5,1,Bava Metzia 27a,4,5,2,גְּמָ׳ מַאי ״בִּכְלַל כׇּל אֵלּוּ״? אָמַר רָבָא: בִּכְלַל ״כׇּל אֲבֵדַת אָחִיךָ״.
bava_metzia_27,44,42,17,5,2,Bava Metzia 27a,7,8,2,"״שׁוֹר״ וָ״שֶׂה״, דִּכְתַב רַחֲמָנָא לְמָה לִי? ״שׁוֹר״ – דַּאֲפִילּוּ לְגִיזַּת זְנָבוֹ, וְ״שֶׂה״ –"
bava_metzia_27,44,42,17,5,3,Bava Metzia 27a,13,15,3,וּלְמַאן דְּנָפְקָא לֵיהּ מֵ״אֲשֶׁר תֹּאבַד״ הַאי ״וּמְצָאתָהּ״ מַאי עָבֵיד לֵיהּ?
bava_metzia_27,44,42,17,5,4,Bava Metzia 27a,17,23,7,"וְאִידַּךְ, הָא דְּרַבְנַאי מְנָא לֵיהּ? נָפְקָא לֵיהּ מִ״וּמְצָאתָהּ״."
bava_metzia_27,44,42,17,5,5,Bava Metzia 27b,3,4,2,תָּא שְׁמַע: חֲמוֹר בְּסִימָנֵי אוּכָּף. אֵימָא ״בְּעֵדֵי אוּכָּף״.
bava_metzia_32,41,41,17,2,1,Bava Metzia 32a,16,19,4,אִיצְטְרִיךְ. סָלְקָא דַּעְתָּךְ אָמֵינָא: הוֹאִיל וְהוּקַּשׁ כִּיבּוּד אָב וָאֵם לִכְבוֹדוֹ שֶׁל מָ
bava_metzia_32,41,41,17,2,2,Bava Metzia 32b,6,18,13,"תֵּדַע דְּצַעַר בַּעֲלֵי חַיִּים לָאו דְּאוֹרָיְיתָא, דְּקָתָנֵי רֵישָׁא: הָלַךְ וְיָשַׁב לוֹ וְאָמַ"
berakhot_34,47,45,17,5,1,Berakhot 34b,1,2,2,"כֹּהֵן גָּדוֹל, בְּסוֹף כׇּל בְּרָכָה וּבְרָכָה. וְהַמֶּלֶךְ, תְּחִלַּת כׇּל בְּרָכָה וּבְרָכָה וְסו"
